# F1TENTH Gym oval course waypoints
# Counter-clockwise centerline
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.0000000; 0.0000000; 1.5707963; 0.7500000; 1.0000000; 0.0000000
0.0634738; 2.9984896; 0.0634559; 1.6183763; 0.7485866; 1.0000000; 0.0000000
0.1270274; 2.9939600; 0.1268478; 1.6658369; 0.7443786; 1.0000000; 0.0000000
0.1907399; 2.9864158; 0.1901121; 1.7130613; 0.7374707; 1.0000000; 0.0000000
0.2546892; 2.9758644; 0.2531849; 1.7599369; 0.7280153; 1.0000000; 0.0000000
0.3189514; 2.9623167; 0.3160028; 1.8063574; 0.7162150; 1.0000000; 0.0000000
0.3836002; 2.9457861; 0.3785025; 1.8522246; 0.7023122; 1.0000000; 0.0000000
0.4487066; 2.9262894; 0.4406211; 1.8974498; 0.6865786; 1.0000000; 0.0000000
0.5143381; 2.9038461; 0.5022960; 1.9419546; 0.6693037; 1.0000000; 0.0000000
0.5805586; 2.8784789; 0.5634651; 1.9856716; 0.6507833; 1.0000000; 0.0000000
0.6474280; 2.8502134; 0.6240669; 2.0285447; 0.6313100; 1.0000000; 0.0000000
0.7150019; 2.8190779; 0.6840403; 2.0705289; 0.6111644; 1.0000000; 0.0000000
0.7833313; 2.7851038; 0.7433249; 2.1115903; 0.5906084; 1.0000000; 0.0000000
0.8524626; 2.7483254; 0.8018611; 2.1517050; 0.5698806; 1.0000000; 0.0000000
0.9224374; 2.7087796; 0.8595898; 2.1908587; 0.5491926; 1.0000000; 0.0000000
0.9932926; 2.6665063; 0.9164530; 2.2290458; 0.5287283; 1.0000000; 0.0000000
1.0650600; 2.6215481; 0.9723935; 2.2662685; 0.5086431; 1.0000000; 0.0000000
1.1377670; 2.5739502; 1.0273548; 2.3025357; 0.4890652; 1.0000000; 0.0000000
1.2114359; 2.5237606; 1.0812816; 2.3378622; 0.4700974; 1.0000000; 0.0000000
1.2860845; 2.4710297; 1.1341197; 2.3722677; 0.4518188; 1.0000000; 0.0000000
1.3617259; 2.4158108; 1.1858159; 2.4057762; 0.4342880; 1.0000000; 0.0000000
1.4383689; 2.3581593; 1.2363180; 2.4384146; 0.4175453; 1.0000000; 0.0000000
1.5160181; 2.2981333; 1.2855752; 2.4702129; 0.4016156; 1.0000000; 0.0000000
1.5946737; 2.2357933; 1.3335380; 2.5012027; 0.3865107; 1.0000000; 0.0000000
1.6743321; 2.1712021; 1.3801580; 2.5314173; 0.3722318; 1.0000000; 0.0000000
1.7549857; 2.1044247; 1.4253883; 2.5608909; 0.3587716; 1.0000000; 0.0000000
1.8366235; 2.0355282; 1.4691834; 2.5896581; 0.3461158; 1.0000000; 0.0000000
1.9192307; 1.9645822; 1.5114991; 2.6177541; 0.3342453; 1.0000000; 0.0000000
2.0027895; 1.8916580; 1.5522929; 2.6452140; 0.3231371; 1.0000000; 0.0000000
2.0872787; 1.8168291; 1.5915237; 2.6720723; 0.3127658; 1.0000000; 0.0000000
2.1726742; 1.7401707; 1.6291519; 2.6983637; 0.3031043; 1.0000000; 0.0000000
2.2589489; 1.6617602; 1.6651397; 2.7241218; 0.2941245; 1.0000000; 0.0000000
2.3460734; 1.5816764; 1.6994509; 2.7493800; 0.2857985; 1.0000000; 0.0000000
2.4340153; 1.5000000; 1.7320508; 2.7741707; 0.2780985; 1.0000000; 0.0000000
2.5227404; 1.4168132; 1.7629067; 2.7985258; 0.2709975; 1.0000000; 0.0000000
2.6122117; 1.3321998; 1.7919875; 2.8224763; 0.2644693; 1.0000000; 0.0000000
2.7023906; 1.2462450; 1.8192640; 2.8460524; 0.2584893; 1.0000000; 0.0000000
2.7932363; 1.1590354; 1.8447086; 2.8692836; 0.2530342; 1.0000000; 0.0000000
2.8847065; 1.0706587; 1.8682957; 2.8921987; 0.2480822; 1.0000000; 0.0000000
2.9767571; 0.9812039; 1.8900016; 2.9148258; 0.2436131; 1.0000000; 0.0000000
3.0693424; 0.8907611; 1.9098045; 2.9371922; 0.2396085; 1.0000000; 0.0000000
3.1624157; 0.7994214; 1.9276843; 2.9593247; 0.2360516; 1.0000000; 0.0000000
3.2559286; 0.7072768; 1.9436231; 2.9812495; 0.2329274; 1.0000000; 0.0000000
3.3498322; 0.6144200; 1.9576049; 3.0029923; 0.2302225; 1.0000000; 0.0000000
3.4440761; 0.5209445; 1.9696155; 3.0245783; 0.2279255; 1.0000000; 0.0000000
3.5386095; 0.4269445; 1.9796429; 3.0460324; 0.2260263; 1.0000000; 0.0000000
3.6333805; 0.3325146; 1.9876769; 3.0673790; 0.2245168; 1.0000000; 0.0000000
3.7283371; 0.2377499; 1.9937096; 3.0886422; 0.2233904; 1.0000000; 0.0000000
3.8234264; 0.1427457; 1.9977347; 3.1098461; 0.2226421; 1.0000000; 0.0000000
3.9185956; 0.0475979; 1.9997483; 3.1310144; 0.2222688; 1.0000000; 0.0000000
4.0137914; -0.0475979; 1.9997483; -3.1310144; 0.2222688; 1.0000000; 0.0000000
4.1089605; -0.1427457; 1.9977347; -3.1098461; 0.2226421; 1.0000000; 0.0000000
4.2040499; -0.2377499; 1.9937096; -3.0886422; 0.2233904; 1.0000000; 0.0000000
4.2990064; -0.3325146; 1.9876769; -3.0673790; 0.2245168; 1.0000000; 0.0000000
4.3937775; -0.4269445; 1.9796429; -3.0460324; 0.2260263; 1.0000000; 0.0000000
4.4883108; -0.5209445; 1.9696155; -3.0245783; 0.2279255; 1.0000000; 0.0000000
4.5825548; -0.6144200; 1.9576049; -3.0029923; 0.2302225; 1.0000000; 0.0000000
4.6764583; -0.7072768; 1.9436231; -2.9812495; 0.2329274; 1.0000000; 0.0000000
4.7699713; -0.7994214; 1.9276843; -2.9593247; 0.2360516; 1.0000000; 0.0000000
4.8630445; -0.8907611; 1.9098045; -2.9371922; 0.2396085; 1.0000000; 0.0000000
4.9556299; -0.9812039; 1.8900016; -2.9148258; 0.2436131; 1.0000000; 0.0000000
5.0476804; -1.0706587; 1.8682957; -2.8921987; 0.2480822; 1.0000000; 0.0000000
5.1391506; -1.1590354; 1.8447086; -2.8692836; 0.2530342; 1.0000000; 0.0000000
5.2299964; -1.2462450; 1.8192640; -2.8460524; 0.2584893; 1.0000000; 0.0000000
5.3201753; -1.3321998; 1.7919875; -2.8224763; 0.2644693; 1.0000000; 0.0000000
5.4096466; -1.4168132; 1.7629067; -2.7985258; 0.2709975; 1.0000000; 0.0000000
5.4983716; -1.5000000; 1.7320508; -2.7741707; 0.2780985; 1.0000000; 0.0000000
